ID	DevName	DataCode	NameStringID	DescStringID	TriggerType	Effects	RARITY	Sprite
33	물병자리	fan_upgrade_aquarius		이동 횟수 -1, 연산 기호 상자를 고급 연산 기호 상자로 변경	Passive	`[{"Trigger":"Passive","Target":"Movement","Calc":"Add","Value":-1.0,"Option":""},{"Trigger":"Passive","Target":"Operator_Box","Calc":"Set","Value":1.0,"Option":""}]`	Red	
34	동물친구들	fan_attack_animalfriends		모든 공격이 4회 추가로 공격함	Attack	`[{"Trigger":"Attack","Target":"Additional_Damage","Calc":"Add","Value":4.0,"Option":""}]`	Red	
35	염소자리	fan_start_capricorn		전투 시작 시 이동횟수, 힘, 임시 지우개, 임시 여분성냥 +1	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Movement","Calc":"Add","Value":1.0,"Option":""},{"Trigger":"Battle_Start","Target":"Strength","Calc":"Add","Value":1.0,"Option":""},{"Trigger":"Battle_Start","Target":"Eraser","Calc":"Add","Value":1.0,"Option":""},{"Trigger":"Battle_Start","Target":"Extra_Match","Calc":"Add","Value":1.0,"Option":""}]`	Red	
36	사수자리	fan_erase_sagittarius		모든 상자를 분리시키는 대신, 전투당 한 번 지우개로 상자를 지울 수 있음	Passive	`[{"Trigger":"Passive","Target":"Eraser","Calc":"Add","Value":1.0,"Option":""}]`	Red	
37	쌍둥이자리	fan_odd_gemini		내 홀수의 수치 x2, 짝수는 0으로 취급	Passive	`[{"Trigger":"Passive","Target":"Value","Calc":"Multiply","Value":2.0,"Option":""}]`	Red	
38	끈끈이장갑	fan_shop_stickyglove		상점에서 소모품을 각각 1회 무료로 구매 가능	Passive	`[{"Trigger":"Passive","Target":"Item_Cost","Calc":"Add","Value":-100.0,"Option":""}]`	Blue	
39	스탬프쿠폰	fan_shop_stampcoupon		상점에서 체력 999 소모 시 매 턴 공격 횟수 +1의 환상으로 변경	Shop_Purchase	`[{"Trigger":"Shop_Purchase","Target":"HP","Calc":"Add","Value":-999.0,"Option":""}]`	Blue	
40	주사기	fan_turn_syringe		매 턴 공격 횟수 +1	Passive	`[{"Trigger":"Passive","Target":"Attack_Count","Calc":"Add","Value":1.0,"Option":""}]`	Blue	
41	종이 배	fan_defend_paperboat		적의 기본 피해량이 내 기본 피해량 이상인 경우, 받는 피해 절반	Passive	`[{"Trigger":"","Target":"Damage_Taken","Calc":"Multiply","Value":0.5,"Option":""}]`	Blue	
42	대역 인형	fan_turn1_doll		첫 턴에 적의 힘 -2	Turn_1	`[{"Trigger":"Turn_1","Target":"Enemy_Strength","Calc":"Add","Value":-2.0,"Option":""}]`	Blue	
43	오르골	fan_use_musicbox		소모품을 사용할 때마다, 50% 확률로 그 소모품의 복사본 생성	Use_Item	`[{"Trigger":"Use_Item","Target":"Item","Calc":"Add","Value":1.0,"Option":""}]`	Blue	
44	낫	fan_damage_scythe		적에게 입힌 피해의 10%만큼 체력 증가	Deal_Damage	`[{"Trigger":"Deal_Damage","Target":"HP","Calc":"Add","Value":10.0,"Option":""}]`	Blue	
45	부채	fan_end_fan		턴 종료 시 내 현재 체력의 20%만큼 적에게 데미지	Turn_End	`[{"Trigger":"Turn_End","Target":"Damage","Calc":"Add","Value":20.0,"Option":""}]`	Blue	
46	폭죽	fan_end_firecracker		턴 종료시 이번 전투에서 소모품을 사용한 횟수만큼 30의 피해	Turn_End	`[{"Trigger":"Turn_End","Target":"Damage","Calc":"Add","Value":30.0,"Option":""}]`	Blue	
47	종이 비행기	fan_end_paperplane		턴 종료시 적과 나의 기본 피해량이 같을 경우, 가하는 피해량 두 배	Turn_End	`[{"Trigger":"Turn_End","Target":"Additional_Damage","Calc":"Multiply","Value":2.0,"Option":""}]`	Blue	
48	큐대	fan_start_cuestick		전투 시작 시 내 기본 피해량과 힘 피해량 첫째 자리 숫자 8로 고정	Battle_Start	`[{"Trigger":"Battle_Start","Target":"Base_Damage","Calc":"Set","Value":8.0,"Option":""},{"Trigger":"Battle_Start","Target":"Strength_Damage","Calc":"Set","Value":8.0,"Option":""}]`	Blue	
49	시계태엽	fan_turn4_clockwork		전투 개시 3턴 뒤 힘 +2	Turn_4	`[{"Trigger":"Turn_4","Target":"Strength","Calc":"Add","Value":2.0,"Option":""}]`	Blue	
50	청사진	fan_acquire_blueprint		획득시 보유하고 있는 환상 중 하나로 선택하여 그 복사본으로 영구히 변경됨	On_Acquire	`[{"Trigger":"On_Acquire","Target":"Change_Fantasy","Calc":"Execute","Value":1.0,"Option":""}]`	Blue	
51	수면안대	fan_rest_sleepmask		휴식으로 얻는 체력 x2	Rest	`[{"Trigger":"Rest","Target":"HP","Calc":"Multiply","Value":2.0,"Option":""}]`	Blue	
52	마시멜로	fan_rest_marshmallow		휴식 버튼을 한 번 더 누를 수 있음	Passive	`[{"Trigger":"Passive","Target":"Rest_Count","Calc":"Add","Value":1.0,"Option":""}]`	Blue	
53	포도탄	fan_damage_grapeshot		피해를 입힐 때 마다 항상 60씩 추가로 입힘	Deal_Damage	`[{"Trigger":"Deal_Damage","Target":"Additional_Damage","Calc":"Add","Value":60.0,"Option":""}]`	Blue	
54	병 속의 배	fan_damage_Bottle		피해를 받을 때 마다 적에게 150 피해를 입힘	Take_Damage	`[{"Trigger":"Take_Damage","Target":"Damage_Reflect","Calc":"Add","Value":150.0,"Option":""}]`	Blue	
55	도미노	fan_number_domino		내 5보다 작은 숫자가 모두 5로 취급됨	Passive	`[{"Trigger":"Passive","Target":"Value","Calc":"Set","Value":5.0,"Option":""}]`	Blue	
56	사과파이	fan_number_applepie		적의 5보다 큰 숫자가 모두 5로 취급됨	Passive	`[{"Trigger":"Passive","Target":"Value","Calc":"Set","Value":5.0,"Option":""}]`	Blue	
57	손거울	fan_damage_mirror		내 기본 피해량이 같은 숫자로만 이루어져 있을 경우, 타수 1회 추가	Turn_End	`[{"Trigger":"Turn_End","Target":"Attack_Count","Calc":"Add","Value":1.0,"Option":""}]`	Blue	
58	캔디	fan_acquire_Candy		획득 시 현재 체력 +10%	Acquire	`[{"Trigger":"Acquire","Target":"HP","Calc":"Add","Value":"HP*0.1","Option":""}]`	White	
59	주판	fan_damage_abacus		매 턴 이동 횟수 +3	Passive	`[{"Trigger":"Turn_Start","Target":"Movement","Calc":"Add","Value":3.0,"Option":""}]`	Blue	
60	포인세티아	fan_damage_poinsettia		피해를 입을 때 마다 항상 30씩 적게 받음	Take_Damage	`[{"Trigger":"Take_Damage","Target":"Damage_Taken","Calc":"Add","Value":-30.0,"Option":""}]`	Blue	
61	양자리						Red	
62	사자자리						Red	
63	황소자리						Red	
64	처녀자리						Red	
65	게자리						Red	
66	전갈자리						Red	
67								
2278								
