ID	DevName	DataCode	NameStringID	Effects	SpriteRes	설명
		KnightSkill		{"Condition": "DamageTaken>=DamageCapBreakThreshold", "Effects": [{"Action": "RemoveBuff", "Type": "Shield"}, {"Target": "Self", "Action": "AddBuff", "Type": "Strength", "Value": 1}]}		피해를 400 받으면 해당 버프를 없애고, 힘을 1 얻음
		StargazerSingle		{"Attack": "3_Single", "Effects": [{"Target": "Self", "Action": "AddBox", "Value": "Random", "Count": 1, "Mode": "Append", "Label": "STAR"}]}		3자릿수 단타 + 별 상자에 무작위 0~9까지 숫자 넣기
		StargazerSkill		{"Effects": [{"Target": "Player", "Action": "Damage", "Value": "SpecialBoxValue", "HitCount": 3}]}		지정숫자 3개를 이어놓은 잠금타수만큼의 연타3 패턴 "유성우"
		LibrarianSingle		{"Attack": "3_Single", "Effects": [{"Target": "Player", "Action": "Damage", "Value": "PlayerFormulaRandomNumber"}]}
		LibrarianMulti		{"Attack": "2_Multi_2", "Effects": [{"Target": "Player", "Action": "Damage", "Value": "PlayerFormulaRandomNumber"}]}
		BanditSingle		{"Attack": "2_Single", "Effects": [{"Target": "Player", "Action": "AddBuff", "Type": "Bleed", "Value": "DamageDealt"}]}		공격 시 입힌 피해량만큼 출혈 적용
		RobberSingle		{"Attack": "2_Single", "Effects": [{"Target": "Player", "Action": "AddBuff", "Type": "Poison", "Value": "DamageDealt*0.5"}]}		공격 시 입힌 피해량 50%만큼 중독 적용
		PlagueDoctorSingle		{"Attack": "2_Single", "Effects": [{"Target": "Player", "Action": "AddBuff", "Type": "Poison", "Value": "DamageDealt"}]}		공격 시 입힌 피해량만큼 중독 적용
		CosmictreeSingle		{"Attack": "2_Single", "Effects": [{"Target": "Self", "Action": "AddBuff", "Type": "Strength", "Value": 1}]}		공격과 함께 힘 증가
		CosmictreeHeal		{"Effects": [{"Target": "Self", "Action": "Heal", "Value": "DigitCount(Strength)", "Editable": true}]}		힘 수치 자릿수만큼 힐
		WhaleSingle		{"Attack": "3_Single", "Effects": [{"Timing": "NextTurn", "Target": "Self", "Action": "AddBox", "Value": "Random", "Count": 2, "Label": "WHALE"}]}		3자릿수 단타 + 다음턴 고래 전용상자에 무작위 숫자 2개 설정
		WhaleMulti		{"Attack": "2_Multi_3", "Effects": [{"Timing": "NextTurn", "Target": "Self", "Action": "AddBox", "Value": "Random", "Count": 2, "Label": "WHALE"}]}		2x3 연타 + 다음턴 고래 전용상자에 무작위 숫자 2개 설정
		WhalePhase2		{"Condition": "HPRate<=0.5 && Phase==1", "Effects": [{"Target": "Self", "Action": "ClearBox"}, {"Target": "Self", "Action": "AddBuff", "Type": "Phase2"}]}		고래 전용버프 초기화 이후 "2페이즈" 버프 설정, 조건은 기초체력 50% 이하로 내려갔을 때 및 Phase 버프값이 1인 경우
